Date,Open,High,Low,Close,Adj Close,Volume
2006-06-26,80.129997,80.419998,80.019997,80.320000,55.519665,125400
2006-07-03,80.029999,80.260002,79.580002,80.180000,55.422913,2161100
2006-07-10,80.120003,80.690002,80.089996,80.639999,55.958241,1156100
2006-07-17,80.550003,81.059998,80.099998,80.889999,56.131725,1156700
2006-07-24,80.919998,81.320000,80.709999,81.220001,56.360767,858800
2006-07-31,81.260002,81.570000,80.860001,81.540001,56.582809,547100
2006-08-07,81.480003,81.550003,81.129997,81.160004,56.540840,760200
2006-08-14,81.080002,81.970001,81.000000,81.949997,57.091183,1165800
2006-08-21,81.989998,82.239998,81.879997,82.190002,57.258385,719100
2006-08-28,82.150002,82.550003,81.879997,82.269997,57.314137,910400
2006-09-04,82.160004,82.199997,81.720001,82.080002,57.398911,820400
2006-09-11,82.040001,82.320000,81.820000,82.029999,57.363930,602100
2006-09-18,81.730003,83.269997,81.730003,83.260002,58.224079,870200
2006-09-25,83.400002,83.570000,82.949997,83.139999,58.140182,1216600
2006-10-02,82.800003,83.339996,82.500000,82.599998,57.762589,1373400
2006-10-09,82.699997,82.839996,81.900002,82.010002,57.568741,4623000
2006-10-16,82.139999,82.449997,82.019997,82.129997,57.653008,1080000
2006-10-23,81.980003,82.870003,81.800003,82.860001,58.165455,1052400
2006-10-30,82.870003,83.529999,82.349998,82.389999,57.835552,1226800
2006-11-06,82.379997,83.199997,82.300003,83.099998,58.550491,898800
2006-11-13,83.120003,83.339996,82.720001,83.089996,58.543457,1473800
2006-11-20,83.190002,83.620003,83.040001,83.480003,58.818172,844000
2006-11-27,83.339996,84.080002,83.239998,83.940002,59.142315,2223000
2006-12-04,83.839996,84.000000,83.239998,83.279999,58.890305,1913500
2006-12-11,83.510002,83.730003,83.070000,83.150002,58.798386,1245700
2006-12-18,83.180000,83.529999,83.040001,83.070000,58.741787,1317600
2006-12-25,83.180000,83.290001,82.300003,82.440002,58.296295,795100
2007-01-01,82.709999,82.980003,82.480003,82.709999,58.655891,1582900
2007-01-08,82.720001,82.830002,82.110001,82.220001,58.308369,951000
2007-01-15,82.300003,82.379997,82.089996,82.199997,58.294239,800100
2007-01-22,82.300003,82.379997,81.650002,81.790001,58.003433,1313200
2007-01-29,81.919998,82.139999,81.650002,81.809998,58.017597,1176500
2007-02-05,81.879997,82.400002,81.830002,82.080002,58.430424,1294100
2007-02-12,82.050003,82.690002,81.860001,82.599998,58.800606,1170200
2007-02-19,82.589996,82.879997,82.410004,82.809998,58.950047,572600
2007-02-26,82.989998,84.070000,82.919998,83.550003,59.476898,1635000
2007-03-05,83.720001,83.720001,83.110001,83.160004,59.394951,1370600
2007-03-12,83.300003,83.930000,83.269997,83.550003,59.673466,1396600
2007-03-19,83.410004,83.779999,83.209999,83.269997,59.473484,1177300
2007-03-26,83.180000,83.599998,82.949997,83.089996,59.344898,1134300
2007-04-02,82.949997,83.000000,82.709999,82.709999,59.073494,757500
2007-04-09,82.389999,82.620003,82.279999,82.339996,59.038021,697500
2007-04-16,82.470001,83.089996,82.370003,82.870003,59.418049,1837600
2007-04-23,82.919998,83.300003,82.839996,82.910004,59.446701,1776000
2007-04-30,83.080002,83.290001,82.660004,82.980003,59.496906,755400
2007-05-07,83.010002,83.129997,82.769997,82.820000,59.606983,796100
2007-05-14,82.830002,82.849998,82.129997,82.180000,59.146301,1002000
2007-05-21,82.160004,82.290001,81.709999,81.919998,58.959221,1004300
2007-05-28,81.900002,82.040001,81.080002,81.120003,58.383438,863800
2007-06-04,81.220001,81.279999,80.080002,80.370003,58.077236,1639700
2007-06-11,80.169998,80.320000,79.519997,80.220001,57.968826,2213800
2007-06-18,80.190002,80.680000,80.010002,80.449997,58.134998,1549200
2007-06-25,80.690002,81.139999,80.550003,81.089996,58.597534,1424300
2007-07-02,80.760002,80.989998,79.930000,80.019997,57.824333,1936900
2007-07-09,80.169998,80.889999,80.089996,80.529999,58.418335,995400
2007-07-16,80.519997,81.510002,80.519997,81.360001,59.020439,1170300
2007-07-23,81.300003,82.570000,81.260002,82.470001,59.825645,1685800
2007-07-30,82.480003,82.639999,81.910004,82.639999,59.948978,2054100
2007-08-06,82.449997,82.690002,81.610001,82.070000,59.768520,2070400
2007-08-13,82.000000,83.470001,81.949997,83.029999,60.467625,2795500
2007-08-20,83.139999,83.639999,83.050003,83.360001,60.707947,1941100
2007-08-27,83.470001,84.419998,83.360001,84.139999,61.275990,1365300
2007-09-03,83.839996,84.889999,83.440002,84.889999,61.822178,1273000
2007-09-10,84.870003,85.230003,84.099998,84.300003,61.637207,848300
2007-09-17,84.250000,84.470001,83.010002,83.430000,61.001072,3392600
2007-09-24,83.459999,84.180000,83.349998,83.879997,61.330090,1235600
2007-10-01,83.629997,84.099998,83.120003,83.199997,60.832874,3242600
2007-10-08,83.300003,83.790001,82.849998,83.050003,60.948524,1027300
2007-10-15,82.860001,84.940002,82.839996,84.910004,62.313522,1066300
2007-10-22,84.879997,85.339996,84.500000,84.879997,62.291523,1219800
2007-10-29,84.889999,85.309998,84.339996,85.089996,62.445618,1159900
2007-11-05,85.220001,85.860001,84.779999,85.849998,63.225655,2011000
2007-11-12,85.970001,86.339996,85.230003,86.099998,63.409756,1292300
2007-11-19,86.199997,87.230003,86.099998,86.910004,64.006279,1416300
2007-11-26,87.150002,88.250000,86.699997,87.580002,64.499710,1690900
2007-12-03,88.050003,88.050003,86.199997,86.360001,63.601227,1107000
2007-12-10,86.419998,87.339996,85.620003,85.720001,63.343262,1508200
2007-12-17,85.900002,87.309998,85.800003,86.320000,63.786648,2115700
2007-12-24,86.080002,86.709999,85.589996,86.610001,64.000954,847000
2007-12-31,86.720001,88.239998,86.650002,88.040001,65.296272,1313100
2008-01-07,87.870003,88.720001,87.870003,88.570000,65.689301,1538300
2008-01-14,88.519997,89.790001,88.400002,89.610001,66.460686,2396800
2008-01-21,90.800003,91.779999,88.970001,90.199997,66.898224,3122500
2008-01-28,89.930000,90.190002,89.010002,89.940002,66.705421,2364400
2008-02-04,89.400002,90.190002,88.680000,89.650002,66.698708,1304200
2008-02-11,89.800003,90.050003,88.559998,88.980003,66.200264,1926300
2008-02-18,88.519997,89.389999,88.089996,88.919998,66.155647,1660100
2008-02-25,88.750000,90.809998,88.239998,90.760002,67.524567,1346900
2008-03-03,90.290001,90.849998,89.430000,90.550003,67.368301,1850800
2008-03-10,90.720001,91.889999,90.019997,91.709999,68.442505,1769000
2008-03-17,91.669998,92.589996,91.419998,92.529999,69.054451,2899200
2008-03-24,91.610001,91.639999,90.900002,91.529999,68.308136,2305200
2008-03-31,91.919998,91.970001,90.080002,90.970001,67.890266,2934400
2008-04-07,90.470001,91.089996,90.059998,90.949997,68.106308,2477400
2008-04-14,90.940002,91.089996,88.650002,89.400002,66.945641,4735900
2008-04-21,89.269997,89.669998,88.279999,88.570000,66.324059,1440800
2008-04-28,88.500000,89.370003,88.080002,88.160004,66.017082,1159200
2008-05-05,88.360001,89.209999,87.809998,89.029999,66.878578,1759700
2008-05-12,88.949997,89.230003,87.779999,88.449997,66.442886,1332600
2008-05-19,88.550003,88.959999,87.849998,88.519997,66.495468,1214100
2008-05-26,88.089996,88.320000,86.760002,87.309998,65.586510,3682800
2008-06-02,87.500000,88.199997,86.190002,87.959999,66.074814,2593600
2008-06-09,87.519997,87.730003,85.860001,85.940002,64.785179,1882400
2008-06-16,86.129997,86.839996,85.800003,86.610001,65.290253,1214600
2008-06-23,86.709999,88.050003,86.459999,87.940002,66.292900,1493100
2008-06-30,87.839996,88.110001,87.449997,87.709999,66.119507,1327400
2008-07-07,87.769997,88.940002,87.540001,87.959999,66.528702,1691600
2008-07-14,88.010002,89.099998,87.150002,87.220001,65.969009,1744100
2008-07-21,87.169998,87.779999,86.690002,87.220001,65.969009,1650800
2008-07-28,87.510002,88.339996,87.150002,88.080002,66.619453,1411400
2008-08-04,87.919998,88.599998,87.199997,88.379997,67.077179,1539500
2008-08-11,88.260002,89.110001,87.669998,88.970001,67.524986,1520300
2008-08-18,88.959999,89.449997,88.699997,88.870003,67.449112,1678800
2008-08-25,89.379997,89.650002,89.099998,89.379997,67.836174,1353800
2008-09-01,88.889999,90.639999,88.699997,90.040001,68.337067,1583400
2008-09-08,89.430000,90.540001,89.239998,89.620003,68.243553,1743000
2008-09-15,90.970001,92.639999,89.059998,89.199997,67.923714,4194100
2008-09-22,88.639999,89.540001,88.449997,88.910004,67.702904,2394500
2008-09-29,89.489998,91.070000,88.769997,90.120003,68.624268,2158500
2008-10-06,90.440002,91.320000,87.410004,87.680000,66.995964,4491600
2008-10-13,87.260002,87.949997,86.589996,87.949997,67.202293,2238500
2008-10-20,87.489998,90.400002,87.290001,89.389999,68.302597,3143700
2008-10-27,89.459999,89.680000,87.589996,87.889999,67.156425,1417600
2008-11-03,87.699997,89.230003,87.389999,88.639999,67.729492,2883800
2008-11-10,88.540001,90.059998,88.290001,89.839996,68.897293,1227000
2008-11-17,89.849998,93.750000,89.800003,92.889999,71.236282,2968300
2008-11-24,92.519997,95.699997,91.709999,94.360001,72.363655,1640600
2008-12-01,95.050003,96.790001,94.639999,95.550003,73.276192,2295700
2008-12-08,95.500000,96.769997,95.070000,96.760002,74.451080,3290900
2008-12-15,96.839996,100.309998,96.639999,99.519997,76.574753,2478500
2008-12-22,99.559998,99.720001,99.000000,99.639999,76.667099,1439000
2008-12-29,99.449997,99.919998,96.940002,97.120003,74.728127,1273000
2009-01-05,96.709999,97.949997,96.000000,97.620003,75.392021,3122300
2009-01-12,97.379997,99.220001,97.339996,97.860001,75.577438,1929800
2009-01-19,96.809998,98.050003,95.559998,96.220001,74.310791,1465800
2009-01-26,95.849998,96.820000,94.480003,94.699997,73.136879,1483200
2009-02-02,94.800003,95.370003,93.500000,93.550003,72.248734,2417400
