Date,Open,High,Low,Close,Adj Close,Volume
2006-06-26,83.500000,84.400002,83.500000,84.320000,53.727139,1219000
2006-07-03,83.900002,84.459999,82.949997,84.290001,53.708019,3814300
2006-07-10,84.180000,85.160004,84.050003,85.040001,54.396896,4236500
2006-07-17,84.970001,85.669998,84.239998,85.330002,54.582375,4374800
2006-07-24,85.410004,85.889999,84.870003,85.699997,54.819054,3124500
2006-07-31,85.620003,86.480003,85.040001,86.320000,55.215641,3176800
2006-08-07,86.330002,86.570000,85.360001,85.400002,54.845749,3334200
2006-08-14,85.349998,86.910004,85.190002,86.769997,55.725620,4568000
2006-08-21,86.889999,87.589996,86.860001,87.440002,56.155842,4003100
2006-08-28,87.410004,88.199997,86.980003,87.760002,56.361340,5274200
2006-09-04,87.510002,87.639999,86.720001,87.330002,56.308956,6381100
2006-09-11,87.489998,88.029999,86.949997,87.459999,56.392788,3895400
2006-09-18,86.970001,89.699997,86.970001,89.680000,57.824226,6055600
2006-09-25,89.839996,90.309998,89.089996,89.410004,57.650124,9167800
2006-10-02,89.099998,89.849998,88.220001,88.269997,56.915043,6936300
2006-10-09,88.099998,88.599998,87.110001,87.160004,56.422771,5755700
2006-10-16,87.400002,88.050003,87.360001,87.550003,56.675205,3206000
2006-10-23,87.150002,89.050003,86.879997,88.870003,57.529720,5162200
2006-10-30,88.889999,90.120003,88.300003,88.529999,57.309616,5693300
2006-11-06,88.349998,90.040001,88.349998,89.860001,58.394936,3227900
2006-11-13,89.839996,90.389999,89.279999,89.949997,58.453354,6428400
2006-11-20,90.000000,90.900002,89.860001,90.620003,58.888786,2766000
2006-11-27,90.230003,91.800003,90.120003,91.419998,59.408676,6041800
2006-12-04,91.300003,91.620003,90.190002,90.239998,58.861794,6060000
2006-12-11,90.629997,90.970001,89.599998,89.730003,58.529114,4598100
2006-12-18,89.720001,90.190002,89.209999,89.389999,58.307365,3912800
2006-12-25,89.449997,89.690002,88.059998,88.430000,57.681152,3192600
2007-01-01,89.220001,89.650002,88.660004,89.209999,58.387260,4865800
2007-01-08,89.120003,89.480003,87.900002,88.040001,57.621525,3555100
2007-01-15,88.230003,88.279999,87.779999,87.989998,57.588764,3227800
2007-01-22,88.150002,88.330002,86.650002,86.910004,56.881920,4966300
2007-01-29,87.059998,87.760002,86.599998,87.199997,57.071754,6189300
2007-02-05,87.400002,88.309998,87.160004,87.629997,57.586639,3860700
2007-02-12,87.489998,88.720001,87.199997,88.639999,58.250397,6411200
2007-02-19,88.500000,88.940002,88.089996,88.839996,58.381813,2448100
2007-02-26,89.150002,91.260002,89.110001,90.199997,59.275543,9752200
2007-03-05,90.480003,90.500000,89.190002,89.400002,58.974224,5367400
2007-03-12,89.730003,90.540001,89.650002,89.849998,59.271042,3865000
2007-03-19,89.580002,90.089996,88.690002,88.790001,58.571804,6139700
2007-03-26,88.620003,89.269997,88.220001,88.279999,58.235382,5038400
2007-04-02,88.110001,88.339996,87.709999,87.750000,57.885792,2209900
2007-04-09,87.279999,87.580002,87.010002,87.120003,57.683201,3487400
2007-04-16,87.400002,88.709999,87.400002,88.150002,58.365128,4509000
2007-04-23,88.139999,88.820000,87.779999,87.830002,58.153324,4346400
2007-04-30,88.330002,88.750000,88.010002,88.599998,58.663132,2105800
2007-05-07,88.699997,89.010002,88.129997,88.190002,58.605598,3091400
2007-05-14,88.230003,88.279999,86.879997,86.930000,57.768299,2550600
2007-05-21,86.930000,87.239998,85.959999,86.370003,57.396168,5008900
2007-05-28,86.510002,86.839996,85.540001,85.589996,56.877792,5087900
2007-06-04,85.830002,86.019997,83.360001,83.800003,55.907047,13470300
2007-06-11,83.489998,83.889999,82.199997,83.690002,55.833652,29050800
2007-06-18,83.629997,84.449997,82.239998,83.760002,55.880356,28325700
2007-06-25,84.150002,85.300003,83.959999,85.169998,56.821037,15195300
2007-07-02,84.809998,85.370003,83.279999,83.480003,55.693554,10223800
2007-07-09,83.870003,85.199997,83.680000,84.260002,56.429939,6911800
2007-07-16,84.519997,86.080002,84.500000,85.959999,57.568420,6003900
2007-07-23,85.690002,87.559998,85.690002,87.279999,58.452412,11244800
2007-07-30,87.190002,87.930000,86.910004,87.930000,58.887756,10083200
2007-08-06,87.699997,87.720001,85.720001,86.080002,57.873940,13776100
2007-08-13,85.919998,87.599998,85.900002,86.790001,58.351280,8253600
2007-08-20,86.959999,88.080002,86.809998,87.849998,59.063953,6937100
2007-08-27,88.279999,89.199997,88.150002,88.879997,59.756451,10141000
2007-09-03,88.830002,90.500000,88.199997,90.300003,60.711136,6823100
2007-09-10,90.500000,91.269997,89.580002,89.910004,60.696148,14256700
2007-09-17,89.820000,90.389999,87.099998,87.889999,59.332474,16393700
2007-09-24,88.029999,89.330002,87.430000,88.720001,59.892799,10161100
2007-10-01,88.690002,89.430000,87.709999,88.279999,59.595783,6765200
2007-10-08,87.769997,88.500000,87.449997,87.629997,59.387905,4703900
2007-10-15,87.480003,90.599998,87.400002,90.459999,61.305866,7721700
2007-10-22,90.580002,91.389999,90.070000,90.500000,61.332958,10171100
2007-10-29,90.500000,91.540001,89.750000,91.040001,61.698906,9310200
2007-11-05,91.160004,91.589996,90.320000,91.330002,62.167664,6120200
2007-11-12,91.989998,92.699997,90.919998,92.410004,62.902843,4908300
2007-11-19,92.540001,93.800003,92.410004,93.730003,63.801365,4446900
2007-11-26,94.220001,96.360001,93.739998,94.379997,64.243805,13162000
2007-12-03,94.760002,95.099998,91.379997,91.750000,62.453552,9301100
2007-12-10,91.639999,93.230003,90.500000,90.610001,61.924274,9937300
2007-12-17,91.070000,93.870003,90.930000,91.669998,62.648685,9142700
2007-12-24,91.220001,92.580002,90.279999,92.480003,63.202248,3661400
2007-12-31,92.779999,94.790001,92.599998,94.269997,64.684471,8284100
2008-01-07,94.180000,95.300003,93.309998,94.199997,64.636452,9678500
2008-01-14,94.199997,96.290001,94.000000,95.489998,65.521584,11463800
2008-01-21,96.410004,98.160004,94.129997,95.949997,65.837212,23107900
2008-01-28,95.680000,96.000000,93.589996,95.230003,65.343216,23806400
2008-02-04,94.389999,95.610001,92.050003,93.699997,64.516792,13916500
2008-02-11,94.279999,94.699997,90.660004,91.879997,63.263687,20748200
2008-02-18,91.139999,92.849998,90.559998,92.019997,63.360081,11618600
2008-02-25,91.949997,94.459999,90.610001,94.230003,64.881775,15807100
2008-03-03,93.669998,94.199997,91.500000,92.230003,63.504665,14253100
2008-03-10,92.709999,95.809998,92.209999,95.000000,65.654419,23579400
2008-03-17,95.589996,97.750000,94.949997,97.180000,67.161003,16463900
2008-03-24,96.480003,96.480003,94.540001,95.550003,66.034470,13437600
2008-03-31,96.110001,96.320000,93.779999,95.199997,65.792610,14746600
2008-04-07,94.620003,95.919998,93.900002,95.669998,66.398560,10254800
2008-04-14,95.339996,95.699997,91.820000,92.769997,64.385864,14927700
2008-04-21,92.410004,93.669998,91.500000,91.820000,63.726551,10782200
2008-04-28,91.529999,93.650002,91.410004,91.610001,63.580761,11937800
2008-05-05,91.860001,92.870003,90.620003,92.500000,64.431000,14116800
2008-05-12,92.760002,93.160004,90.720001,91.839996,63.971260,10738500
2008-05-19,92.260002,92.669998,90.839996,91.769997,63.922474,9234200
2008-05-26,91.379997,91.559998,89.139999,90.279999,62.884644,11053500
2008-06-02,89.980003,91.410004,89.449997,90.760002,63.218971,14834100
2008-06-09,90.480003,91.389999,88.680000,88.870003,62.127529,12409400
